"Before.After.x","Habitat","Location","rate","SE","df","lower.CL","upper.CL"
"Before","Artifical Reef","Botany Bay",0.0439966247178756,0.0497872624960536,352,0.00475185483428161,0.407357348671664
"After 1","Artifical Reef","Botany Bay",0.257028234690681,0.164511288844595,352,0.0729942016154426,0.905051524177932
"After 2","Artifical Reef","Botany Bay",2.03945885834913,0.984280609040835,352,0.789390627615746,5.26911808854589
"Before","Natural Reef","Botany Bay",0.207329400241655,0.149281397887522,352,0.0503111048666321,0.8543934846693
"After 1","Natural Reef","Botany Bay",0.0766408286489614,0.0876877295752685,352,0.00807620893804882,0.727298743885463
"After 2","Natural Reef","Botany Bay",0.915018138803105,0.614809077133191,352,0.244076695671089,3.4303078056537
"Before","Artifical Reef","Lake Macquarie",0.190498320535048,0.136126710664051,352,0.0467238997147092,0.776681962512853
"After 1","Artifical Reef","Lake Macquarie",3.11755112262437,1.14787055855265,352,1.51120390477223,6.43137896314617
"After 2","Artifical Reef","Lake Macquarie",7.73666561721516,2.7850225123318,352,3.81139161622881,15.7044987499405
"Before","Natural Reef","Lake Macquarie",0.818219178938022,0.457557033415564,352,0.272411998546612,2.45761063519182
"After 1","Natural Reef","Lake Macquarie",1.41973379108123,0.778717452761578,352,0.482742976861855,4.17539795325638
"After 2","Natural Reef","Lake Macquarie",4.03729364965235,2.08036887613123,352,1.46542338256684,11.1228879021792
"Before","Artifical Reef","St Georges Basin",0.0702903230678451,0.0610467910752689,352,0.0127373971754217,0.387891611522939
"After 1","Artifical Reef","St Georges Basin",0.651733166881888,0.276935496586524,352,0.282571263510251,1.50318229651999
"After 2","Artifical Reef","St Georges Basin",2.5191290978406,0.916008258488759,352,1.23216190656861,5.15030644735635
"Before","Natural Reef","St Georges Basin",2.31892091278445e-09,8.9615366000391e-06,352,2.22044604925031e-16,Inf
"After 1","Natural Reef","St Georges Basin",2.96837986222297,1.51388707182609,352,1.08869211999598,8.09345346091363
"After 2","Natural Reef","St Georges Basin",2.81190733904465,1.514278806803,352,0.975050798322527,8.10913943865901
